vendor,count
natural.js,623
ml.js,427
Google Brain,188
Berkeley Vision and Learning Center,58
ml5.js,29
brain.js,21
Apache,17
predict.js,14
synaptic.js,6
NVIDIA Corporation,5
Keras,4
convnet.js,4
neuro.js,3
deeplearn.js,3
clusterfck.js,2
figue.js,1
neataptic.js,1
